question,reference_answer,predicted_answer,semantic_similarity,response_time_ms,exact_match
My senior clicked my private pictures without my consent.,"This act is a violation of privacy under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender can face imprisonment from one year to five years and a fine. You should immediately report the incident to your HR department and file a complaint with the police.","This act violates Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. Report the incident to the police and file a complaint with the police.",89.8377776145935,988.7502193450928,False
My colleague deliberately follows me after office hours.,"This is stalking under Sec 77 BNS. Repeatedly following someone against their will is punishable. You should document the behaviour, note dates and times, and file a complaint with police for immediate action.",This is sexual harassment under Sec 74 BNS. Repeated sexual harassment is punishable. Document incidents and report to Internal Committee or police.,51.90070867538452,525.5167484283447,False
My relative sent my private pictures to others without my consent. Is it a crime?,"Yes, under BNS Section 74 and IT Act Section 66E, distributing private images without consent is a criminal act. The punishment includes one to five years of imprisonment and a fine. Report the incident to the nearest police station.","This act constitutes criminal intimidation under Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. Report the incident to the police and file a complaint with the police.",45.8778440952301,965.4972553253174,False
My husband forces me to perform tasks against my will at home.,This constitutes coercion under Section 85 BNS. Imprisonment and fine are possible. File a complaint with police and preserve evidence of coercion. Bail may be granted with judicial discretion.,You can file a complaint under Section 85 of the Bharatiya Nyaya Sanhita (BNS) for criminal intimidation. You can also seek protection under the Domestic Violence Act for immediate relief.,49.80276823043823,807.6415061950684,False
My classmate leaked my private photos on social media.,"This act violates Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender may be punished with imprisonment from one year to five years and a fine. You should inform your institution and file a cybercrime complaint.","This act violates privacy and cyber harassment under Section 74 of the BNS and Section 66E of the IT Act, 2000. Punishment includes imprisonment from one year to five years and a fine. Report the incident to the cybercrime cell and lodge a complaint with the cybercrime cell.",94.24437880516052,1082.4470520019531,False
My brother pushed me and caused minor injuries while disputing land ownership.,"Using criminal force even if injuries are minor falls under Section 336 of BNS, punishable with imprisonment and fine. Lodge a police complaint and document any injuries.",Using criminal force and injury is punishable under Sections 336 and 329 of BNS. The offender may face imprisonment and fine. Seek medical treatment and file a police complaint.,84.68979597091675,677.3145198822021,False
My husband demands dowry and threatens to leave me if I don’t fulfill it.,"You can register a case under Section 85 of the BNS for cruelty and also under the Dowry Prohibition Act, 1961. Demanding dowry or harassing a woman for dowry is a punishable offence. You should collect any messages or witnesses and report to the police or women’s cell. The punishment can extend up to five years of imprisonment and fine.",You can file a complaint under Section 85 of the Bharatiya Nyaya Sanhita (BNS) for criminal intimidation. You can also file a complaint under Section 85 of the Bharatiya Nyaya Sanhita (BNS) for criminal intimidation.,46.951234340667725,1149.4758129119873,False
Someone installed malware on my office computer to steal sensitive data.,This is cyber fraud under Section 318 BNS for cheating (hacking and unauthorised access). Preserve system logs and report to IT security team and police immediately.,This is cyber fraud under Section 318 BNS for cheating. Preserve logs and report to IT security team and police.,96.51656150817871,520.0414657592773,False
Someone sent fake government alerts asking for personal info online.,"This is cyber fraud under Section 318 BNS for cheating. Do not share information, preserve evidence, and report to cybercrime authorities.","This is cyber fraud under Section 318 BNS for cheating and Section 336 BNS. Do not share personal info, preserve the message, and report to cybercrime authorities.",94.8002815246582,636.6143226623535,False
My husband harasses me for dowry.,"You can file a complaint under Section 74 of the Bharatiya Nyaya Sanhita (BNS) for cruelty by husband or his relatives. The section covers both mental and physical cruelty, including harassment for dowry, and is punishable with imprisonment up to three years and fine.",This is sexual harassment under Section 85 BNS. Imprisonment and fine may be imposed. Preserve evidence and report to police. Bail may be granted depending on severity.,49.772465229034424,719.7198867797852,False
My office colleague shows me pornographic videos against my will.,This is sexual harassment under Sec 74 BNS. Showing pornographic content without consent at the workplace is illegal. Report the incident to your Internal Committee and keep any evidence such as video files or screenshots for legal proceedings.,This is sexual harassment under Sec 74 BNS. Preserve videos and report to Internal Committee or police.,71.82061076164246,415.21406173706055,False
My boss threatened to leak my private photos if I refused to cooperate.,"This is a case of sexual harassment and blackmail under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender shall face imprisonment from one year to five years and a fine. You should lodge a police complaint and also report it to the Internal Complaints Committee.","Threatening to leak private photos without consent constitutes criminal intimidation under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender may face imprisonment from one year to five years and a fine. Report the matter to HR and lodge a police complaint.",66.33179783821106,1026.6060829162598,False
Someone sent me a message claiming my bank account is frozen and asks for OTP.,This is phishing and fraud under Section 318 BNS for cheating. Never share OTP or credentials. Preserve the message and report to cybercrime authorities immediately.,"This is phishing and cyber fraud under Section 318 BNS for cheating. Do not share personal info, preserve the message, and report to cybercrime authorities.",88.65128755569458,581.7956924438477,False
My brother bribed local officials to get land papers changed in his name.,"This involves cheating and forgery under BNS Sections 316 and 336, both punishable with imprisonment and fine. You should file a complaint with the police and also approach the district revenue officer to restore ownership.","Using criminal force to change documents is criminal intimidation under Section 329 of BNS, punishable with imprisonment and fine. File a police complaint and seek civil court orders to change the name.",48.73168170452118,671.5807914733887,False
My brother tried to intimidate me by bringing neighbors to threaten me about land ownership.,"Intimidation using threats or a group falls under Section 329 of BNS, punishable with imprisonment and fine. File a police complaint and gather witness statements to strengthen your case.","Using neighbors to intimidate falls under Section 329 of BNS, punishable with imprisonment and fine. File a police complaint immediately. Bail may be granted depending on the severity of threats.",69.48244571685791,636.716365814209,False
My husband repeatedly destroys household items to threaten me.,Destruction of property under Section 85 BNS. Punishment includes imprisonment and fine. Document damages and report to police. Bail may be granted depending on previous offenses.,You can file a complaint under Section 85 of the Bharatiya Nyaya Sanhita (BNS) for criminal intimidation. You can also file a complaint under Section 85 of the Bharatiya Nyaya Sanhita (BNS) for criminal intimidation.,28.77071499824524,1067.345142364502,False
Someone sent me a fake job application link to collect personal and financial information.,"This is phishing under Section 318 BNS for cheating. Do not share information, preserve messages, and report to cybercrime authorities.","This is cyber fraud under Section 318 BNS for cheating and Section 336 BNS. Do not share personal info, preserve the message, and report to cybercrime authorities.",89.46091532707214,592.0846462249756,False
Someone sent me a fake salary update email asking for bank information.,"This is phishing under Section 318 BNS for cheating. Do not share bank info, preserve the email, and report to cybercrime authorities.","This is cyber fraud under Section 318 BNS for cheating. Do not share personal info, preserve the email, and report to cybercrime authorities.",86.94389462471008,571.014404296875,False
Someone is continuously sharing my private photos in online groups.,"This act amounts to online harassment and privacy violation under Section 74 of the BNS and Section 66E of the IT Act, 2000. It carries imprisonment from one year to five years and a fine. Report the group and offender to the police immediately.","This act violates privacy and cyber harassment under Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. The victim should report the incident to the police and the cybercrime portal.",92.67709255218506,1046.6687679290771,False
My husband left me without giving financial support for months.,You can seek legal remedy under Section 85 of the BNS for cruelty and also file a case for maintenance under Section 125 of the Bharatiya Nagarik Suraksha Sanhita (BNSS) or through family court. Abandoning a wife without providing for her basic needs amounts to cruelty. The court can order maintenance and take action against him for neglect.,You can file a complaint under Section 85 of the Bharatiya Nyaya Sanhita (BNS) for criminal intimidation. You can also file a complaint under Section 85 of the Bharatiya Nyaya Sanhita (BNS).,43.51484179496765,960.3445529937744,False
My office HR refuses to register my harassment complaint.,"Even if Internal Committee or HR refuses, you can directly approach the police under Sec 74 BNS for sexual harassment. Document your complaint in writing and keep copies for future legal proceedings.",This is harassment under Sec 74 BNS. Preserve evidence and report to Internal Committee or police.,70.76408863067627,414.8406982421875,False
My brother physically assaulted me when I tried to stop him from encroaching on my land.,Assault causing grievous hurt is punishable under Section 316 and use of criminal force under Section 336 of BNS. Seek medical treatment and report the incident to police.,Assault in encroachment falls under Section 85 BNS. He may be punished with imprisonment and fine. File a police complaint immediately. Bail may be granted depending on severity and severity.,62.4891459941864,745.1045513153076,False
My brother tried to force me to vacate my share of land using threats and violence.,Forcibly depriving someone of property using threats and criminal force falls under Sections 329 and 336 of BNS. File an FIR and approach civil court for recovery of possession.,Threatening to force someone to use force falls under Sections 329 and 329 of BNS. The offender may face imprisonment and fine. File a police complaint immediately.,72.19883799552917,771.8710899353027,False
My husband beats me and tortures me mentally.,"You can file a complaint under Section 85 of the Bharatiya Nyaya Sanhita (BNS), which deals with cruelty by husband or his relatives. This section covers both physical and mental cruelty against a woman by her husband or his family members. You should immediately report to the nearest police station or call the women’s helpline (1091). The offence is cognizable and non-bailable, punishable with imprisonment up to three years and fine.","You can file a complaint under Section 85 of the Bharatiya Nyaya Sanhita (BNS) for criminal intimidation. You can also seek protection under the Domestic Violence Act, 2000.",75.34032464027405,751.6577243804932,False
My brother caused injury to my foot while disputing our land boundary.,"Inflicting grievous hurt is punishable under Section 316 of BNS, with imprisonment and fine. Seek medical treatment and file a detailed FIR for legal action.","Causing grievous hurt falls under Section 316 of BNS, punishable with imprisonment and fine. Seek medical treatment and file a police complaint.",92.65867471694946,590.1751518249512,False
My boss repeatedly sends me private messages late at night.,"Unwanted messages can be harassment under Sec 74 BNS. Document all messages and timestamps, and report to Internal Committee or police for action.","This act violates privacy and cyber harassment under Section 74 of the BNS and Section 66E of the IT Act, 2000. Punishment includes imprisonment from one year to five years and a fine. Report the matter to HR and file a complaint with the Internal Committee or police.",57.88929462432861,986.5968227386475,False
My brother forcibly prevented me from entering my share of the ancestral house.,Preventing someone from accessing their property using criminal force falls under Section 336 of BNS. He may face imprisonment and/or fine. File an FIR immediately and consider approaching civil court for injunction and recovery of possession.,Using criminal force to prevent someone from entering your property falls under Section 85 BNS. The offender may face imprisonment and fine. File a police complaint immediately.,78.58636379241943,729.1710376739502,False
My brother locked me out of the ancestral house and refused to let me in.,Using criminal force to deny access to property is punishable under Section 336 of BNS. File an FIR and approach civil court to regain entry.,"This act violates Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender can be punished with imprisonment and fine. File a police complaint immediately. Bail may be granted depending on prior history.",57.15547204017639,855.7698726654053,False
My classmate shared my private photo in a group. What action can I take?,Such actions are punishable under BNS Section 74 and IT Act Section 66E. The offender can be imprisoned for one to five years and fined. Report the incident to school authorities and the police immediately.,"Sharing private photos without consent violates BNS Section 74 and Section 66E of the IT Act, 2000. The offender can be punished with imprisonment from one year to five years and a fine. Report the incident to the police.",51.14560127258301,905.5767059326172,False
My husband threatened me with a knife at home.,"This falls under Section 85 BNS for criminal intimidation. He may face imprisonment and fine. Immediate police intervention is recommended. Bail may be granted, but the court will consider the threat to life.","Threatening someone with a weapon constitutes criminal intimidation under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender may face imprisonment and fine. File a police complaint immediately. Bail may be granted depending on severity.",71.60577774047852,950.721025466919,False
My manager keeps calling me to his cabin for personal talks and makes me uncomfortable.,"Repeated unwelcome personal meetings can amount to sexual harassment under Sec 74 BNS. Document the dates, times, and content of conversations, and report the behaviour to the Internal Committee or police to prevent escalation.",This is sexual harassment under Sec 74 BNS. Unwelcome silence is punishable. Document incidents and report to Internal Committee or police.,77.0749032497406,509.657621383667,False
My relative shared my private photos on family groups.,"This act breaches privacy and causes emotional distress, punishable under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender may face imprisonment from one year to five years and a fine. Preserve all messages and report the case to the police.","This act violates Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. Report the incident to the police and file a complaint with the police.",85.64429879188538,930.7098388671875,False
My boss repeatedly compliments my body despite my objections.,"Unwelcome comments fall under Sec 74 BNS. Keep detailed records of dates, witnesses, and report to Internal Committee or police.",Repeated sexual harassment under Sec 74 BNS. Repeated sexual harassment under Sec 74 BNS. Preserve evidence and report to Internal Committee or police.,53.01160216331482,570.1947212219238,False
My boss asks me inappropriate questions about my personal life.,"This counts as sexual harassment under Sec 74 BNS. Asking unwelcome personal or sexual questions at the workplace is punishable. Document the dates, questions, and witnesses, and report to Internal Committee or police.",This is sexual harassment under Sec 74 BNS. Unwelcome questions are punishable. Preserve evidence and report to Internal Committee or police.,87.62028217315674,524.0964889526367,False
My senior officer shared my private video on a WhatsApp group.,"This is an act of cyber harassment and violation of privacy under Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. You should preserve chat evidence and report the case to the police.","This act constitutes a breach of privacy under Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. Report the incident to the police and the cybercrime portal.",81.120765209198,1022.9127407073975,False
My brother tried to physically remove me from my portion of the property.,"Using criminal force to remove someone from property is punishable under Section 336 of BNS, with imprisonment and fines. Report the incident to police and seek civil remedies for possession.",Using criminal force to remove someone from their property falls under Sections 329 and 329 of BNS. The offender may face imprisonment and fine. File a police complaint immediately.,88.70877027511597,639.7459506988525,False
Someone created fake documents in my name to claim company benefits.,"This is cheating under Section 336 BNS. Preserve evidence, note dates and witnesses, and report to police or cybercrime authorities.",This is cheating under Section 336 BNS. Preserve evidence and report to police and cybercrime authorities.,95.23553848266602,581.087589263916,False
My team leader secretly takes my photos without permission.,Secretly taking photos without consent falls under Sec 69 BNS (insulting modesty) and Sec 74 BNS for sexual harassment. Preserve any evidence and report to the Internal Committee or police. The offender is liable for imprisonment and fine.,"This act violates privacy and privacy under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender can be punished with imprisonment from one year to five years and a fine. Report the incident to HR and file a complaint with the police.",49.127623438835144,949.6479034423828,False
Someone sent me a fake scholarship email requesting bank details.,"This is phishing and cyber fraud under Section 318 BNS for cheating. Do not share info, preserve the message, and report to cybercrime authorities.","This is cyber fraud under Section 318 BNS for cheating. Do not share personal info, preserve the email, and report to cybercrime authorities.",91.31913185119629,659.4812870025635,False
Someone sent me a phishing link pretending to be my bank’s security alert.,"This is cyber fraud under Section 318 BNS for cheating. Do not click the link, preserve evidence, and report to bank and cybercrime authorities.","This is cyber fraud under Section 318 BNS for cheating. Do not click the link, preserve the message, and report to cybercrime authorities.",93.68975162506104,526.9622802734375,False
My boss makes repeated comments about my body after I said no.,Repeated unwanted comments fall under Sec 74 BNS. Document every instance and report to Internal Committee or police. Offender is liable for imprisonment and fine.,This is sexual harassment under Sec 74 BNS. Repeated repeated comments are punishable. Document instances and report to Internal Committee or police.,81.44842386245728,501.0237693786621,False
My boss spreads false sexual rumours about me among colleagues.,"Defamation and harassment fall under Sec 354 BNS and Sec 74 BNS. Document evidence, note witnesses, and file complaint with Internal Committee or police.",This is sexual harassment under Sec 74 BNS. Preserve evidence and report to Internal Committee or police.,70.75246572494507,457.5824737548828,False
Someone used my private photo as a profile picture on a fake account.,"This involves identity misuse and privacy violation under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender can be punished with imprisonment from one year to five years and a fine. Report the fake account to the platform and lodge a police complaint.","This is identity theft under Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. Preserve screenshots and report to cybercrime authorities and police.",80.87228536605835,886.5790367126465,False
My brother forcibly locked me out of our jointly owned house.,Using criminal force to prevent someone from entering property is punishable under Section 336 of BNS. The offender may face imprisonment and fines. You should report to the police and approach the court for an injunction to regain entry.,Forcibly letting someone out of their property falls under Section 85 BNS. The offender may face imprisonment and fine. File a police complaint immediately.,73.33839535713196,661.5631580352783,False
Someone created a fake invoice in my name to divert company funds.,"This is fraud under Section 336 BNS (cheating and dishonestly inducing delivery of property). Collect all documents and evidence, and file a complaint with police or cybercrime authorities.",This is cheating under Section 336 BNS. Preserve invoices and report to police and cybercrime authorities.,74.84399676322937,445.3895092010498,False
My brother injured my leg while trying to prevent me from entering our farmland.,"Inflicting grievous hurt is punishable under Section 316 of BNS, with imprisonment and fine. File a police complaint and obtain medical treatment documentation.","Inflicting grievous hurt using a weapon is punishable under Section 316 of BNS, punishable with imprisonment and fine. Seek medical treatment and lodge a police complaint.",94.02161836624146,700.4892826080322,False
Someone hacked my office email and leaked confidential client data.,"Unauthorized access and data theft fall under Section 318 BNS for cheating. Preserve evidence, inform authorities, and file a police/cybercrime complaint.","This is cyber fraud under Section 318 BNS for cheating. Preserve logs, backup logs, and report to IT security and police.",72.79640436172485,552.6137351989746,False
My boss makes sexual jokes about me in front of other employees.,"Sexually coloured jokes or humiliation fall under Sec 74 BNS. Repeated acts are punishable. Maintain records of dates, witnesses, and report to Internal Committee or police.",Sexually coloured jokes are sexual harassment under Sec 74 BNS. Preserve evidence and report to Internal Committee or police.,84.14349555969238,547.9404926300049,False
Someone sent me a fake investment link promising high returns.,"This is online fraud under Section 336 BNS. Do not invest, preserve the link and messages, and report to cybercrime authorities and police.","This is phishing and cyber fraud under Section 318 BNS for cheating. Do not click the link, preserve the message, and report to cybercrime authorities.",77.19324827194214,656.362771987915,False
Someone sent me a fake payment confirmation message to steal money.,"This is cyber fraud under Section 336 BNS. Do not make any payment, preserve messages and screenshots, and report to cybercrime authorities and bank.","This is phishing and cyber fraud under Section 318 BNS for cheating. Do not share details, preserve the message, and report to cybercrime authorities.",82.53768682479858,585.6235027313232,False
Someone sent me phishing emails pretending to be my bank and asked for OTP.,"This is cyber fraud under Section 318 BNS for cheating. Do not share OTP, preserve emails, and report to cybercrime authorities and your bank.","This is cyber fraud under Section 318 BNS for cheating. Do not share personal info, preserve emails, and report to cybercrime authorities.",88.29960823059082,590.3146266937256,False
Someone sent me fake tax refund messages asking for my bank account details.,"This is phishing and cyber fraud under Section 318 BNS for cheating. Do not share info, preserve messages, and report to cybercrime authorities.","This is phishing and cyber fraud under Section 318 BNS for cheating. Do not share details, preserve messages, and report to cybercrime authorities.",99.27845001220703,553.9035797119141,False
My brother and his friends threatened to assault me if I claimed my land share.,"Conspiring to intimidate someone constitutes criminal intimidation under Section 329 of BNS, punishable with imprisonment and fine. File a police complaint and collect evidence such as witness statements or messages.",Threatening to intimidate falls under Section 329 of BNS. The offender may face imprisonment and fine. Report the threat to the police immediately.,85.90179085731506,602.2663116455078,False
My colleague forwarded my private pictures to other departments.,"This act is a workplace privacy violation under Section 74 of the BNS and Section 66E of the IT Act, 2000. Punishment includes imprisonment from one year to five years and a fine. Report to HR and also file a complaint with the cybercrime cell.","This act violates Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender can be punished with imprisonment from one year to five years and a fine. Report the matter to HR and file a complaint with the police.",78.89671921730042,897.4807262420654,False
My husband continuously monitors my phone and messages without my permission.,You can complain under Section 63 of the BNS for sexual or personal harassment and under Section 66E of the IT Act for violation of privacy. Monitoring your private communications without consent amounts to digital stalking and breach of trust. You can report the matter to the cybercrime cell or police for legal action. The punishment can extend up to three years of imprisonment and fine.,"This act violates Section 74 of the BNS and Section 66E of the IT Act, 2000. Punishment includes imprisonment from one year to five years and a fine. Preserve all messages and report to the police. Bail may be granted depending on prior record.",56.97828531265259,951.3955116271973,False
My boss circulated my private photo through company emails.,"This act is an unlawful dissemination of private material under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender can face imprisonment from one year to five years and a fine. Report the case to HR and the police.","This act violates privacy and cyber harassment under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender can be punished with imprisonment from one year to five years and a fine. Report the matter to HR and file a complaint with the cybercrime cell.",82.06579685211182,1001.5642642974854,False
Someone threatened to upload my private photos online unless I paid money.,"This act amounts to cyber extortion and violation of privacy under Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. The victim should preserve the messages and immediately file a complaint with the cybercrime cell.",This is cyber intimidation under Section 318 BNS for cheating and Section 336 BNS. Preserve screenshots and report to cybercrime authorities and police.,55.96773028373718,975.6209850311279,False
My husband confined me to a room for several hours against my will.,Unlawful confinement comes under Section 85 BNS. Punishments include imprisonment and fine. File a complaint immediately. Bail may be granted based on judicial discretion.,"You can file a complaint under Section 74 of the Bharatiya Nyaya Sanhita (BNS) for criminal intimidation and under Section 66E of the Bharatiya Nyaya Sanhita (BNS). You can also seek protection under the Domestic Violence Act, 2000.",48.00127446651459,1094.76900100708,False
My boss sends me inappropriate links or videos during work hours.,This is sexual harassment under Sec 74 BNS. Preserve messages or screenshots and report to Internal Committee or police. The offence is punishable with imprisonment and fine.,This is sexual harassment under Sec 74 BNS. Preserve screenshots and report to Internal Committee or police.,88.26724290847778,417.8156852722168,False
My friend hacked my phone and stole my private photos. What is the punishment?,Hacking and stealing private photos are offenses under BNS Section 74 and IT Act Section 66E. The person can be imprisoned for one to five years and fined. Report the case to the police and Cyber Crime Cell immediately.,"Unauthorized access and unauthorised access fall under BNS Section 74 and Section 66E of the IT Act, 2000. The punishment includes imprisonment from one year to five years and a fine. Report the incident to the police and file a complaint with the police.",73.61483573913574,930.4158687591553,False
My teacher shared my private pictures in a group chat. What should I do?,"Under BNS Section 74 and IT Act Section 66E, sharing private photos without consent is a crime. The punishment involves imprisonment for one to five years and a fine. You should immediately report the incident to the police and collect evidence.","Sharing private photos without consent violates BNS Section 74 and Section 66E of the IT Act, 2000. The offender can be punished with imprisonment from one year to five years and a fine. Report the matter to school authorities and the police.",90.08107781410217,982.370138168335,False
My colleague makes lewd gestures at me during meetings.,"You can file under Sec 74 BNS for sexual harassment. Unwanted gestures or expressions of sexual nature are punishable with imprisonment and fine. Keep evidence like emails, recordings, or witnesses.",Sexual harassment under Sec 74 BNS is punishable with imprisonment and fine. Preserve gestures and report to Internal Committee or police.,85.23311614990234,579.8957347869873,False
Someone edited and leaked my private photos on Instagram.,"This constitutes image morphing and privacy breach under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender may face imprisonment from one year to five years and a fine. Report the account to Instagram and approach the police for legal action.","This act violates privacy and cyber harassment under Section 74 of the BNS and Section 66E of the IT Act, 2000. The offender can be punished with imprisonment from one year to five years and a fine. Report the incident to Instagram and file a complaint with the police.",92.23567843437195,1144.719123840332,False
Someone sent my private photos to my employer to defame me.,"This is an act of defamation and privacy violation under Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. Preserve all evidence and immediately report to the police and your employer’s HR department.","This act violates privacy and cyber harassment under Section 74 of the BNS and Section 66E of the IT Act, 2000. It is punishable with imprisonment from one year to five years and a fine. The victim should report the incident to HR and file a complaint with the police.",84.87988710403442,1117.8534030914307,False
